1,Anantapur,Andhra Pradesh
2,Guntakal,Andhra Pradesh
3,Guntur,Andhra Pradesh
4,Hyderabad / Secunderabad,Andhra Pradesh
5,Kakinada,Andhra Pradesh
6,Kurnool,Andhra Pradesh
7,Nellore,Andhra Pradesh
8,Nizamabad,Andhra Pradesh
9,Rajahmundry,Andhra Pradesh
10,Tirupati,Andhra Pradesh
11,Vijayawada,Andhra Pradesh
12,Visakhapatnam,Andhra Pradesh
13,Warangal,Andhra Pradesh
14,Andhra Pradesh - Other,Andhra Pradesh
15,Itanagar,Arunachal Pradesh
16,Arunachal Pradesh - Other,Arunachal Pradesh
17,Guwahati,Assam
18,Silchar,Assam
19,Assam - Other,Assam
20,Bhagalpur,Bihar
21,Patna,Bihar
22,Bihar - Other,Bihar
23,Bhillai,Chhattisgarh
24,Bilaspur,Chhattisgarh
25,Raipur,Chhattisgarh
26,Chhattisgarh - Other,Chhattisgarh
27,Panjim / Panaji,Goa
28,Vasco Da Gama,Goa
29,Goa - Other,Goa
30,Ahmedabad,Gujarat
31,Anand,Gujarat
32,Ankleshwar,Gujarat
33,Bharuch,Gujarat
34,Bhavnagar,Gujarat
35,Bhuj,Gujarat
36,Gandhinagar,Gujarat
37,Gir,Gujarat
38,Jamnagar,Gujarat
39,Kandla,Gujarat
40,Porbandar,Gujarat
41,Rajkot,Gujarat
42,Surat,Gujarat
43,Vadodara / Baroda,Gujarat
44,Valsad,Gujarat
45,Vapi,Gujarat
46,Gujarat - Other,Gujarat
47,Ambala,Haryana
48,Chandigarh,Haryana
49,Faridabad,Haryana
50,Gurgaon,Haryana
51,Hisar,Haryana
52,Karnal,Haryana
53,Kurukshetra,Haryana
54,Panipat,Haryana
55,Rohtak,Haryana
56,Haryana - Other,Haryana
57,Dalhousie,Himachal Pradesh
58,Dharmasala,Himachal Pradesh
59,Kulu/Manali,Himachal Pradesh
60,Shimla,Himachal Pradesh
61,Himachal Pradesh - Other,Himachal Pradesh
62,Jammu,Jammu &amp; Kashmir
63,Srinagar,Jammu &amp; Kashmir
64,Jammu and Kashmir - Other,Jammu &amp; Kashmir
65,Bokaro,Jharkhand
66,Dhanbad,Jharkhand
67,Jamshedpur,Jharkhand
68,Ranchi,Jharkhand
69,Jharkhand - Other,Jharkhand
70,Bengaluru / Bangalore,Karnataka
71,Belgaum,Karnataka
72,Bellary,Karnataka
73,Bidar,Karnataka
74,Dharwad,Karnataka
75,Gulbarga,Karnataka
76,Hubli,Karnataka
77,Kolar,Karnataka
78,Mangalore,Karnataka
79,Mysoru / Mysore,Karnataka
80,Karnataka - Other,Karnataka
81,Calicut,Kerala
82,Cochin,Kerala
83,Ernakulam,Kerala
84,Kannur,Kerala
85,Kochi,Kerala
86,Kollam,Kerala
87,Kottayam,Kerala
88,Kozhikode,Kerala
89,Palakkad,Kerala
90,Palghat,Kerala
91,Thrissur,Kerala
92,Trivandrum,Kerala
93,Kerala - Other,Kerala
94,Bhopal,Madhya Pradesh
95,Gwalior,Madhya Pradesh
96,Indore,Madhya Pradesh
97,Jabalpur,Madhya Pradesh
98,Ujjain,Madhya Pradesh
99,Madhya Pradesh - Other,Madhya Pradesh
100,Ahmednagar,Maharashtra
101,Aurangabad,Maharashtra
102,Jalgaon,Maharashtra
103,Kolhapur,Maharashtra
104,Mumbai,Maharashtra
105,Mumbai Suburbs,Maharashtra
106,Nagpur,Maharashtra
107,Nasik,Maharashtra
108,Navi Mumbai,Maharashtra
109,Pune,Maharashtra
110,Solapur,Maharashtra
111,Maharashtra - Other,Maharashtra
112,Imphal,Manipur
113,Manipur - Other,Manipur
114,Shillong,Meghalaya
115,Meghalaya - Other,Meghalaya
116,Aizawal,Mizoram
117,Mizoram - Other,Mizoram
118,Dimapur,Nagaland
119,Nagaland - Other,Nagaland
120,Bhubaneshwar,Orissa
121,Cuttack,Orissa
122,Paradeep,Orissa
123,Puri,Orissa
124,Rourkela,Orissa
125,Orissa - Other,Orissa
126,Amritsar,Punjab
127,Bathinda,Punjab
128,Chandigarh,Punjab
129,Jalandhar,Punjab
130,Ludhiana,Punjab
131,Mohali,Punjab
132,Pathankot,Punjab
